Rep_num,Time,Stop_Reason,Generation,Population,Init_Method,Selection_Method,Tournament_Size,Crossover_Rate,Crossover_Type,Mutation_Rate,Mutation_Type,elitism,Max_Gen,Patience,Partition1_Sum,Partition2_Sum,Partition_Difference,Size
1,192.0272,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,19571,19571,0,746
1,178.5285,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,19653,19653,0,749
1,180.3249,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,19674,19674,0,750
1,197.7071,Patience,30,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,19689,19687,2,751
1,195.0668,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,19771,19769,2,754
1,187.4648,Patience,28,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,19815,19813,2,755
1,170.1646,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,19862,19862,0,756
1,170.8740,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,19984,19986,2,762
1,180.5528,Patience,26,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20014,20014,0,763
1,196.2164,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20112,20112,0,765
1,206.7750,Patience,31,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20147,20147,0,766
1,231.8460,Patience,35,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20158,20158,0,767
1,197.0420,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20185,20185,0,768
1,172.7392,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20233,20233,0,769
1,197.9078,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20253,20255,2,770
1,192.7698,Patience,28,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20310,20312,2,772
1,221.5021,Patience,33,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20380,20380,0,774
1,180.5928,Patience,26,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20428,20430,2,775
1,353.4265,Patience,56,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20473,20473,0,776
1,205.0816,Patience,30,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20534,20534,0,780
1,212.1827,Patience,31,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20542,20542,0,781
1,177.2545,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20604,20604,0,783
1,309.2602,Patience,47,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20679,20679,0,785
1,337.6606,Patience,52,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20719,20719,0,786
1,194.1846,Patience,28,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20758,20758,0,787
1,202.3596,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20798,20798,0,789
1,222.5940,Patience,32,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20854,20854,0,791
1,191.0480,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,20900,20900,0,794
